,0,mean,std,min,max,median,mode,q1,q2,q3
"phi_('Power_node_17', 'Power', 'Power')",0.316401109,0.316401109,0.0,0.316401109,0.316401109,0.316401109,0.316401109,0.316401109,0.316401109,0.316401109
"alpha_('Power_node_18', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_18', 'Power', 'Power')",6.252251204,6.252251204,0.0,6.252251204,6.252251204,6.252251204,6.252251204,6.252251204,6.252251204,6.252251204
"alpha_('Power_node_19', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_19', 'Power', 'Power')",29.64691932,29.64691932,0.0,29.64691932,29.64691932,29.64691932,29.64691932,29.64691932,29.64691932,29.64691932
"alpha_('Power_node_20', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_20', 'Power', 'Power')",32.47823896,32.47823896,0.0,32.47823896,32.47823896,32.47823896,32.47823896,32.47823896,32.47823896,32.47823896
"alpha_('Power_node_21', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_21', 'Power', 'Power')",36.98167494,36.98167494,0.0,36.98167494,36.98167494,36.98167494,36.98167494,36.98167494,36.98167494,36.98167494
"alpha_('Power_node_22', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_22', 'Power', 'Power')",25.97081786,25.97081786,0.0,25.97081786,25.97081786,25.97081786,25.97081786,25.97081786,25.97081786,25.97081786
"alpha_('Power_node_23', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_23', 'Power', 'Power')",37.7794295,37.7794295,0.0,37.7794295,37.7794295,37.7794295,37.7794295,37.7794295,37.7794295,37.7794295
"alpha_('Power_node_24', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_24', 'Power', 'Power')",58.98713969,58.98713969,0.0,58.98713969,58.98713969,58.98713969,58.98713969,58.98713969,58.98713969,58.98713969
"alpha_('Power_node_25', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_25', 'Power', 'Power')",48.002462699999995,48.002462699999995,0.0,48.002462699999995,48.002462699999995,48.002462699999995,48.002462699999995,48.002462699999995,48.002462699999995,48.002462699999995
"alpha_('Power_node_26', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_26', 'Power', 'Power')",19.09654231,19.09654231,0.0,19.09654231,19.09654231,19.09654231,19.09654231,19.09654231,19.09654231,19.09654231
"alpha_('Power_node_27', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_27', 'Power', 'Power')",32.69737323999999,32.69737323999999,0.0,32.69737323999999,32.69737323999999,32.69737323999999,32.69737323999999,32.69737323999999,32.69737323999999,32.69737323999999
"alpha_('Power_node_28', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_28', 'Power', 'Power')",25.40134154,25.40134154,0.0,25.40134154,25.40134154,25.40134154,25.40134154,25.40134154,25.40134154,25.40134154
"alpha_('Power_node_29', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_29', 'Power', 'Power')",4.382616987,4.382616987,0.0,4.382616987,4.382616987,4.382616987,4.382616987,4.382616987,4.382616987,4.382616987
"alpha_('Power_node_30', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_30', 'Power', 'Power')",22.90754838,22.90754838,0.0,22.90754838,22.90754838,22.90754838,22.90754838,22.90754838,22.90754838,22.90754838
"alpha_('Power_node_31', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_31', 'Power', 'Power')",22.20482407,22.20482407,0.0,22.20482407,22.20482407,22.20482407,22.20482407,22.20482407,22.20482407,22.20482407
"alpha_('Power_node_32', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_32', 'Power', 'Power')",32.74613032,32.74613032,0.0,32.74613032,32.74613032,32.74613032,32.74613032,32.74613032,32.74613032,32.74613032
"alpha_('Power_node_33', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_33', 'Power', 'Power')",32.10891415,32.10891415,0.0,32.10891415,32.10891415,32.10891415,32.10891415,32.10891415,32.10891415,32.10891415
"alpha_('Power_node_34', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_34', 'Power', 'Power')",9.796453251,9.796453251,0.0,9.796453251,9.796453251,9.796453251,9.796453251,9.796453251,9.796453251,9.796453251
"alpha_('Power_node_35', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_35', 'Power', 'Power')",16.02433749,16.02433749,0.0,16.02433749,16.02433749,16.02433749,16.02433749,16.02433749,16.02433749,16.02433749
"alpha_('Power_node_36', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_36', 'Power', 'Power')",13.44535955,13.44535955,0.0,13.44535955,13.44535955,13.44535955,13.44535955,13.44535955,13.44535955,13.44535955
"alpha_('Power_node_37', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_37', 'Power', 'Power')",19.81595579,19.81595579,0.0,19.81595579,19.81595579,19.81595579,19.81595579,19.81595579,19.81595579,19.81595579
"alpha_('Power_node_38', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_38', 'Power', 'Power')",12.95349404,12.95349404,0.0,12.95349404,12.95349404,12.95349404,12.95349404,12.95349404,12.95349404,12.95349404
"alpha_('Power_node_39', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_39', 'Power', 'Power')",22.71395364,22.71395364,0.0,22.71395364,22.71395364,22.71395364,22.71395364,22.71395364,22.71395364,22.71395364
"alpha_('Power_node_40', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_40', 'Power', 'Power')",16.357111689999996,16.357111689999996,0.0,16.357111689999996,16.357111689999996,16.357111689999996,16.357111689999996,16.357111689999996,16.357111689999996,16.357111689999996
"alpha_('Power_node_41', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
